Name,Symptoms
Tick borne encephalitis (TBE),"borne encephalitis (tbe) does not cause symptoms in most people, like symptoms about a week after being bitten, such as, a high temperature, tiredness, headache, aches and pains, feeling sick, a stiff neck and a severe headache, pain when looking at bright lights, a fit (seizure), a change in behaviour, confusion or slurred speech, weakness or loss of movement in part of the body"
Tourette's syndrome,"blinking, eye rolling, grimacing, shoulder shrugging, jerking of the head or limbs, jumping, twirling, touching objects and other people, grunting, throat clearing, whistling, coughing, tongue clicking, animal sounds, saying random words and phrases, repeating a sound, word or phrase, swearing, stress, anxiety, tiredness, attention deficit hyperactivity disorder (adhd), obsessive compulsive disorder (ocd), depression or anxiety"
Toxic shock syndrome,"a high temperature, muscle aches, a raised skin rash that feels like sandpaper, flulike symptoms"
Toxocariasis,"a high temperature, coughing or wheezing, stomach ache, an itchy rash, eye pain or redness, loss of vision (usually in 1 eye)"
Toxoplasmosis,"high temperature, headache, sore throat, aching body, swollen glands, feeling tired, feeling sick or being sick"
Transurethral resection of the prostate (TURP),"problems with starting to pee, a weak flow of pee, or stopping and starting, having to strain to pee, a frequent need to pee, waking up frequently during the night to pee, a sudden urge to pee, being unable to empty your bladder fully"
Trigeminal neuralgia,"talking, smiling, chewing, brushing your teeth, washing your face, a light touch, shaving or putting on makeup, swallowing, kissing, a cool breeze or air conditioning, head movements, vibrations, such as walking or travelling in a car"
Trimethylaminuria ('fish odour syndrome'),"breath, sweat, pee, vaginal fluids, sweating, stress, certain foods  such as fish, eggs and beans, periods"
Tuberous sclerosis,"headaches, neck pain, feeling and being sick, increasing drowsiness, changes in your mental state, such as confusion, blurred vision,double visionor loss of vision, difficulty walking, worsening epilepsy or challenging behaviour"
Turner syndrome,"are shorter than average, have underdeveloped ovaries, resulting in a lack of monthlyperiodsandinfertility"
Twitching eyes and muscles,dystonia(a group of uncommon conditions that cause muscle spasms)
Typhoid fever,"a persistent high temperature that gradually increases each day, headache, general aches and pains, extreme tiredness (fatigue), cough, constipation"
Typhus,"a high temperature, headache, feeling sick or being sick, feeling generally unwell"
Ulcerative colitis,"recurringdiarrhoea, which may contain blood, mucus or pus, tummy pain, needing to poo frequently"
Urinary tract infections (UTIs),"pain or a burning sensation when peeing (dysuria), needing to pee more often than usual, needing to pee suddenly or more urgently than usual, pee that looks cloudy, blood in your pee, a high temperature, or feeling hot and shivery, a very low temperature below 36c"
Uveitis,"eye pain, which may feel worse when you're reading, red or watery eyes, reduced or blurred vision, sensitivity to light"
Vaginal discharge,diagnose  see a gp if you're worried
Vaginal dryness,"feel sore or itchy in and around your vagina, feel pain or discomfort during sex, need to pee more often than usual, keep gettingurinary tract infections (utis)"
Vaginitis,"an itchy or sore vagina, vaginal dischargethat's a different colour, smell or thickness to usual, vaginal dryness, pain when peeing or having sex, light vaginal bleeding or spotting, sore, swollen or cracked skin around your vagina"
Varicose veins,"pain, aching or a feeling of heaviness, swollen ankles or legs"
Vasculitis,"a rash, swollen glands in the neck, dry, cracked lips, red fingers or toes, red eyes"
Vitiligo,"mouth and eyes, fingers and wrists, armpits, groin, genitals, inside your mouth"
Von Willebrand disease,"bruising easily, frequentnosebleeds, bleeding gums, bleeding more than usual after an injury or cut, heavy periods"
Vulval cancer,"a persistent itch in the vulva, pain, soreness or tenderness in the vulva, a lump or wartlike growth on the vulva, bleeding from the vulva or bloodstainedvaginal dischargebetween periods, an open sore in the vulva, a burning pain when peeing, a mole on the vulva that changes shape or colour"
Whiplash,"neck pain, neck stiffness and difficulty moving your head, headaches, pain and muscle spasms in the shoulders and arms"
Wolff Parkinson White syndrome,"a pounding or fluttering heartbeat (heart palpitations), feelinglightheaded or dizzy, shortness of breath, chest pain, passing out (fainting)"
Yellow fever,"high temperature, headache, feeling or being sick, aches and pains, loss of appetite, feeling generally unwell, yellowing of your skin and eyes (jaundice), dark pee, stomach pain"
Zika virus,"a high temperature, a headache, sore, red eyes, swollen joints and joint and muscle pain, a rash and itching all over the body"
